Actual,Predicted
0.0,0.050835244
0.88,0.8428391
0.78,0.7158671
0.76,0.6830229
0.02,0.050580233
0.11,0.12887111
0.17,0.1745638
0.53,0.47420302
0.54,0.527731
0.07,0.10088338
0.49,0.50457424
0.96,0.9141796
0.34,0.32002565
0.65,0.58467597
0.16,0.1119429
0.08,0.08984532
1.0,0.9340638
0.67,0.66896576
0.52,0.5611662
0.51,0.5412589
0.58,0.51573926
0.65,0.60112524
0.18,0.1514954
0.2,0.23287246
0.56,0.5811563
0.08,0.111059934
0.35,0.35741892
0.29,0.2816757
0.98,0.89997214
0.52,0.5353013
0.57,0.49721262
0.56,0.52573586
0.99,0.95158976
0.9,0.8111368
0.05,0.069020584
0.66,0.61072487
0.66,0.61046034
0.42,0.3737791
0.61,0.60144037
0.62,0.6320018
0.55,0.52961063
0.51,0.5275494
0.7,0.61872
0.45,0.51839536
0.43,0.45143446
0.77,0.7494642
0.67,0.6252206
0.78,0.74161047
0.12,0.09744021
0.95,0.8953397
0.16,0.17840755
0.8,0.735382
0.54,0.4374494
0.7,0.72203594
0.76,0.70228404
0.48,0.5138031
0.33,0.35163388
0.58,0.60511035
0.47,0.4550682
0.67,0.6358684
0.55,0.4823037
0.3,0.2769436
0.59,0.5537385
0.25,0.2700006
0.16,0.1810838
0.46,0.43165633
0.3,0.26379612
0.97,0.8936937
0.59,0.5820418
0.71,0.68949574
0.25,0.24485186
0.11,0.124983504
0.82,0.7237428
0.21,0.22688815
0.87,0.8472515
0.81,0.7404708
0.17,0.15927176
0.81,0.7832773
0.38,0.406577
0.18,0.17869276
0.91,0.90612763
0.99,0.94240016
0.67,0.6583332
0.95,0.91231316
0.03,0.05637359
0.57,0.54161036
0.5,0.47427562
0.33,0.31752536
0.8,0.7807333
0.44,0.49222773
0.95,0.86452264
0.6,0.5963134
0.4,0.39393243
0.26,0.23638093
0.79,0.7992011
0.05,0.11141651
0.46,0.41678455
0.29,0.31609496
0.53,0.5007554
0.43,0.48253128
0.88,0.84836847
0.64,0.6342006
0.55,0.5740239
0.94,0.8853874
0.74,0.67062443
1.0,0.9049322
0.53,0.48620144
0.89,0.85980576
0.54,0.54991037
0.8,0.79199284
0.7,0.6585759
0.73,0.6865162
0.23,0.2360053
0.01,0.064027004
0.35,0.34621835
0.26,0.24866289
0.22,0.24001193
0.84,0.76402587
0.54,0.4866738
0.15,0.15750168
0.2,0.2278643
0.08,0.16441333
0.45,0.4689335
0.98,0.96004194
0.14,0.1431559
0.15,0.18394908
0.43,0.4484398
0.14,0.17646596
0.26,0.29699847
0.9,0.86258835
0.17,0.12804192
0.97,0.88134426
0.63,0.61132973
0.26,0.26462469
0.65,0.64155865
0.59,0.61546105
0.23,0.22120336
0.21,0.20269087
0.56,0.50677156
0.96,0.9304212
0.47,0.42827347
0.12,0.18149334
0.1,0.097601265
0.19,0.2061477
0.77,0.7516626
0.83,0.85584
0.66,0.6439241
0.93,0.8490824
0.87,0.8260982
0.9,0.86943823
0.42,0.41363934
0.44,0.41652134
0.5,0.44804373
0.29,0.27481878
0.32,0.3016579
0.05,0.07760886
0.37,0.32859725
0.11,0.16387329
0.35,0.32738218
0.04,0.041209765
0.12,0.13792357
0.13,0.14907947
0.98,0.8582724
0.39,0.3666413
0.36,0.33280545
0.56,0.5945347
0.92,0.84361446
0.4,0.36488667
0.12,0.119596496
0.99,0.9807871
0.89,0.83737785
0.06,0.09984052
0.81,0.7659895
0.1,0.122577816
0.89,0.87130433
0.63,0.5863119
0.38,0.36441174
0.42,0.45120367
0.33,0.34534106
0.61,0.58780354
0.57,0.54893184
0.72,0.7321786
0.19,0.23859704
0.99,0.9292235
0.45,0.41147032
0.25,0.24194059
0.02,0.0070086345
0.0,0.044797435
0.34,0.31696737
0.71,0.6661082
0.85,0.8039215
0.74,0.6735844
0.13,0.13335817
0.0,0.046459153
0.13,0.13353476
0.32,0.33621582
0.2,0.23022565
0.21,0.2239804
0.02,0.04214082
0.01,0.08073752
0.69,0.6528647
0.99,0.96285695
0.79,0.74651736
0.19,0.2038886
0.13,0.21148685
0.22,0.27272177
0.42,0.41845128
0.67,0.5711575
0.59,0.5386708
0.75,0.73158664
0.09,0.12440922
0.41,0.41505465
0.07,0.0882606
0.19,0.21524376
0.69,0.71151334
0.83,0.7727397
0.62,0.5878672
0.9,0.877674
0.72,0.6510909
0.27,0.29393557
0.1,0.1069206
0.84,0.77629524
0.75,0.7191683
0.85,0.79883
0.83,0.777499
0.28,0.30479047
0.45,0.4311622
0.02,0.06298226
0.24,0.24538687
0.71,0.6756138
0.03,0.06309124
0.14,0.15169819
0.58,0.58416307
0.4,0.35924405
0.55,0.5094588
0.09,0.12517753
0.88,0.7900931
0.57,0.5673349
0.36,0.4215806
0.34,0.35382646
0.17,0.2215065
0.01,0.0048013628
0.37,0.3837379
0.79,0.7279332
0.39,0.4283704
0.68,0.64992183
0.31,0.2910173
0.29,0.28497455
0.66,0.6867177
0.5,0.4663892
0.62,0.5856791
0.65,0.5979175
0.82,0.77691764
0.73,0.72434866
0.64,0.5931781
0.22,0.237356
0.92,0.86741114
0.28,0.33521047
0.6,0.5581308
0.6,0.57895607
0.25,0.24081585
0.64,0.6575213
0.68,0.67596036
0.66,0.65457326
0.69,0.6736087
0.09,0.096020736
0.86,0.8368719
0.04,0.109285586
0.25,0.21767044
0.41,0.409556
0.86,0.80694556
0.8,0.7567373
0.44,0.43471053
0.84,0.76245284
0.88,0.7980661
0.68,0.68112403
0.41,0.44418666
0.39,0.32745063
0.35,0.38162
0.91,0.85709697
0.11,0.14796828
0.06,0.135478
0.43,0.43379235
0.31,0.2930878
0.94,0.9111831
0.32,0.31844217
0.34,0.36409202
0.42,0.40751973
0.48,0.43194437
0.76,0.716492
0.09,0.09497916
0.86,0.81810206
0.61,0.58934623
0.93,0.88989097
0.09,0.105883665
0.04,0.0729134
0.31,0.3308417
0.1,0.11212351
0.15,0.17372653
0.15,0.19794375
0.94,0.8552124
0.79,0.711055
0.03,0.061893634
0.01,0.06336614
0.61,0.58394414
0.77,0.72532135
0.92,0.8640648
0.29,0.26031995
0.27,0.2859654
0.39,0.39340433
0.08,0.108765975
1.0,0.91029185
0.93,0.8782934
0.78,0.733795
0.24,0.2266863
0.5,0.5166241
0.33,0.30208844
0.49,0.47259095
0.65,0.62261325
0.75,0.710102
0.63,0.5542518
0.53,0.5172822
0.59,0.5176256
0.82,0.76242334
0.47,0.44553605
0.77,0.7308323
0.85,0.78300875
0.3,0.3012897
0.04,0.093237184
0.38,0.37268233
0.57,0.52054876
0.95,0.8593387
0.27,0.26382297
0.4,0.38339415
0.94,0.8649592
0.4,0.37492684
0.95,0.85469836
0.31,0.3582953
0.21,0.24809828
0.9,0.84443563
0.51,0.4666269
0.32,0.3238195
0.15,0.109406106
0.13,0.1639241
0.48,0.44858935
0.73,0.73823684
0.86,0.7527367
0.78,0.6963609
0.16,0.17303135
0.6,0.5959392
0.84,0.78835464
0.48,0.4416042
0.41,0.38788143
0.47,0.4587192
0.64,0.61756986
0.91,0.8718925
0.73,0.6772464
0.07,0.12847212
0.47,0.44607267
0.79,0.78187287
0.46,0.45954493
0.88,0.8054081
0.75,0.6793303
0.92,0.90185016
0.33,0.32969102
0.1,0.12960218
0.83,0.73040396
0.48,0.48187557
0.51,0.5239389
0.39,0.412231
0.72,0.68730134
0.18,0.15710291
0.71,0.6408342
0.92,0.87906295
0.2,0.17238887
0.36,0.36292675
0.08,0.11746555
0.36,0.37660095
0.73,0.69705003
0.16,0.1586454
0.26,0.33867478
0.51,0.49274388
0.06,0.06731486
0.7,0.68267155
0.03,0.066341005
0.46,0.47329903
0.62,0.5918109
1.0,0.93469256
0.37,0.38808593
0.87,0.81356114
0.07,0.14002502
0.06,0.11106563
0.05,0.06899872
0.22,0.22496924
0.96,0.9093769
0.82,0.7485066
0.85,0.78737146
0.53,0.53068274
0.74,0.70107406
0.75,0.70683295
0.89,0.8680329
0.17,0.16518551
0.89,0.90035015
0.87,0.81245095
0.85,0.8182097
0.03,0.04599846
0.11,0.12898119
0.14,0.2334862
0.49,0.49152425
0.24,0.23644131
0.32,0.29994136
0.78,0.7748205
0.23,0.20809007
0.97,0.89565486
0.76,0.70082873
0.97,0.93406546
0.52,0.5186601
0.44,0.41212708
0.0,0.0057743564
0.84,0.8206905
0.82,0.75191146
0.6,0.5728881
0.18,0.17194167
0.69,0.6864693
0.55,0.5265802
0.61,0.6332033
0.28,0.27781326
0.83,0.83952516
0.23,0.22485411
0.56,0.57012594
0.27,0.30204025
0.72,0.6870977
0.38,0.40219846
0.3,0.2820918
0.35,0.34629086
0.24,0.24744245
0.34,0.35923502
0.96,0.9114225
0.19,0.1876947
0.36,0.36392674
0.07,0.12716976
0.72,0.65168744
1.0,0.9431383
0.74,0.71782917
0.24,0.23572326
0.54,0.4978557
0.58,0.56755626
0.77,0.7548594
0.7,0.6540118
0.37,0.38680944
0.14,0.124482155
0.28,0.30846435
0.81,0.7435896
0.71,0.74781257
0.44,0.42167112
0.69,0.63742906
0.64,0.67821354
0.18,0.1723796
0.8,0.74893373
0.12,0.11487615
0.49,0.4810364
0.62,0.61169875
0.91,0.82255095
0.68,0.67591673
0.04,0.05166191
0.37,0.34506515
0.98,0.9138016
0.43,0.425412
0.28,0.24540615
0.49,0.40519768
0.2,0.22245467
0.86,0.8128477
0.46,0.40759826
0.74,0.66230285
0.27,0.30097103
0.93,0.8435417
0.52,0.48531413
0.23,0.22308919
0.96,0.95679426
0.81,0.77925646
0.38,0.40733153
0.3,0.2734349
0.22,0.21185228
0.94,0.88901776
0.0,0.025389664
0.63,0.63568515
0.63,0.59647244
0.98,0.8766202
0.97,0.8936412
0.45,0.45012507
0.58,0.5919954
0.05,0.08093069
0.02,0.06428525
0.41,0.4344972
0.93,0.8711516
0.91,0.8298196
0.5,0.47673106
0.52,0.53315294
0.31,0.26070112
0.01,0.008679107
0.68,0.6460095
0.87,0.7891211
0.21,0.20887569
0.76,0.70166457
0.06,0.0712124
