Actual,Predicted
0.0,0.23242056
0.88,0.68208617
0.78,0.55910695
0.76,0.5863585
0.02,0.15719575
0.11,0.27183783
0.17,0.3017914
0.53,0.47533447
0.54,0.60250646
0.07,0.29263422
0.49,0.5001605
0.96,0.69216555
0.34,0.43720695
0.65,0.48228896
0.16,0.25185183
0.08,0.25674444
1.0,0.84972584
0.67,0.6148617
0.52,0.5374299
0.51,0.5350463
0.58,0.5171151
0.65,0.42545697
0.18,0.3152939
0.2,0.38830104
0.56,0.4798842
0.08,0.27091038
0.35,0.49953192
0.29,0.3998312
0.98,0.78582555
0.52,0.59191257
0.57,0.45329258
0.56,0.51207334
0.99,0.7044655
0.9,0.6510222
0.05,0.14299463
0.66,0.5369956
0.66,0.4844797
0.42,0.48064515
0.61,0.4700322
0.62,0.5784626
0.55,0.41357
0.51,0.54094195
0.7,0.59445196
0.45,0.6411979
0.43,0.42760423
0.77,0.6386866
0.67,0.48876294
0.78,0.690259
0.12,0.23353435
0.95,0.6257347
0.16,0.28958976
0.8,0.62879246
0.54,0.47600928
0.7,0.51712096
0.76,0.6590457
0.48,0.49901798
0.33,0.39562476
0.58,0.4541365
0.47,0.45452723
0.67,0.6248608
0.55,0.36959928
0.3,0.3240565
0.59,0.53476363
0.25,0.31107283
0.16,0.3026307
0.46,0.31667486
0.3,0.35901263
0.97,0.7700409
0.59,0.5300675
0.71,0.6319338
0.25,0.33333996
0.11,0.20214346
0.82,0.6093936
0.21,0.318987
0.87,0.6445673
0.81,0.5572624
0.17,0.3635055
0.81,0.7580067
0.38,0.46549737
0.18,0.38296613
0.91,0.64389443
0.99,0.7464746
0.67,0.54785204
0.95,0.7361287
0.03,0.3646979
0.57,0.514374
0.5,0.46178165
0.33,0.46769938
0.8,0.70227706
0.44,0.66765666
0.95,0.64818287
0.6,0.53918225
0.4,0.5391935
0.26,0.28069213
0.79,0.60530055
0.05,0.27940753
0.46,0.5057141
0.29,0.47836542
0.53,0.5166707
0.43,0.5164234
0.88,0.73048675
0.64,0.7725506
0.55,0.5411761
0.94,0.7212226
0.74,0.5746553
1.0,0.8673053
0.53,0.51544523
0.89,0.75240004
0.54,0.5936771
0.8,0.64944434
0.7,0.5498893
0.73,0.5573095
0.23,0.323346
0.01,0.27593535
0.35,0.47141707
0.26,0.23673895
0.22,0.32981518
0.84,0.56997776
0.54,0.50376004
0.15,0.26676175
0.2,0.2894968
0.08,0.26721027
0.45,0.5008859
0.98,0.787628
0.14,0.25380415
0.15,0.2587537
0.43,0.42879573
0.14,0.3533337
0.26,0.375309
0.9,0.65650535
0.17,0.27698457
0.97,0.7306177
0.63,0.65738106
0.26,0.4245961
0.65,0.63149667
0.59,0.44661298
0.23,0.3464822
0.21,0.22363372
0.56,0.64392185
0.96,0.7608228
0.47,0.43845353
0.12,0.29524234
0.1,0.2349088
0.19,0.385026
0.77,0.6012471
0.83,0.60624605
0.66,0.5186031
0.93,0.5896399
0.87,0.69659877
0.9,0.6070646
0.42,0.41687533
0.44,0.52430296
0.5,0.41654173
0.29,0.41035396
0.32,0.3609374
0.05,0.21659692
0.37,0.40370017
0.11,0.32519767
0.35,0.47017506
0.04,0.22901797
0.12,0.28159326
0.13,0.39251143
0.98,0.7662738
0.39,0.41510642
0.36,0.48787674
0.56,0.6057606
0.92,0.68928766
0.4,0.4215081
0.12,0.2907074
0.99,0.68239766
0.89,0.571139
0.06,0.20953338
0.81,0.5889054
0.1,0.26498213
0.89,0.72573763
0.63,0.5485567
0.38,0.39353937
0.42,0.43400973
0.33,0.46755353
0.61,0.61376953
0.57,0.44652185
0.72,0.56230474
0.19,0.23739378
0.99,0.8110487
0.45,0.44206724
0.25,0.3145831
0.02,0.1498264
0.0,0.251732
0.34,0.34022042
0.71,0.4906172
0.85,0.6750665
0.74,0.6867484
0.13,0.27737662
0.0,0.18512924
0.13,0.36252162
0.32,0.3979333
0.2,0.32521585
0.21,0.34207729
0.02,0.22460632
0.01,0.24680756
0.69,0.57358694
0.99,0.80663085
0.79,0.5495964
0.19,0.37071612
0.13,0.33304328
0.22,0.48048902
0.42,0.40982768
0.67,0.49448845
0.59,0.5158048
0.75,0.61984694
0.09,0.16671431
0.41,0.40403107
0.07,0.2908608
0.19,0.4417306
0.69,0.58068264
0.83,0.52829903
0.62,0.5161443
0.9,0.7800673
0.72,0.47027278
0.27,0.3669827
0.1,0.31886867
0.84,0.6759664
0.75,0.54367244
0.85,0.6973935
0.83,0.6108103
0.28,0.41447306
0.45,0.54018945
0.02,0.15805487
0.24,0.3378732
0.71,0.54570353
0.03,0.2299307
0.14,0.2664433
0.58,0.5980581
0.4,0.46406937
0.55,0.50754684
0.09,0.29588634
0.88,0.63799953
0.57,0.495043
0.36,0.4222105
0.34,0.3812254
0.17,0.34210378
0.01,0.21974055
0.37,0.32373103
0.79,0.5293457
0.39,0.46431223
0.68,0.5294058
0.31,0.36619917
0.29,0.3385931
0.66,0.6441306
0.5,0.46072754
0.62,0.54775935
0.65,0.5405797
0.82,0.60162866
0.73,0.4923959
0.64,0.48364308
0.22,0.21795453
0.92,0.7607413
0.28,0.44851577
0.6,0.57850915
0.6,0.56593645
0.25,0.40095577
0.64,0.5509987
0.68,0.6334395
0.66,0.4926559
0.69,0.55558515
0.09,0.3367738
0.86,0.707935
0.04,0.26455864
0.25,0.3040803
0.41,0.43125463
0.86,0.6608045
0.8,0.6075676
0.44,0.42694
0.84,0.68474364
0.88,0.7161391
0.68,0.6030909
0.41,0.40138218
0.39,0.42309326
0.35,0.3893593
0.91,0.6991674
0.11,0.22928137
0.06,0.24243884
0.43,0.46055505
0.31,0.3523063
0.94,0.73075426
0.32,0.30048695
0.34,0.4019992
0.42,0.378525
0.48,0.6072482
0.76,0.77714384
0.09,0.2816017
0.86,0.65109456
0.61,0.5227844
0.93,0.70632136
0.09,0.25069818
0.04,0.20285259
0.31,0.35647112
0.1,0.30234024
0.15,0.25367156
0.15,0.2998541
0.94,0.80269635
0.79,0.60651284
0.03,0.27240774
0.01,0.24764271
0.61,0.6150485
0.77,0.68823427
0.92,0.6879169
0.29,0.27571967
0.27,0.36319882
0.39,0.5165093
0.08,0.24037802
1.0,0.7540379
0.93,0.8507
0.78,0.5987537
0.24,0.35714665
0.5,0.50105965
0.33,0.44826636
0.49,0.511264
0.65,0.47587338
0.75,0.5372614
0.63,0.39890662
0.53,0.50999415
0.59,0.4612222
0.82,0.59038913
0.47,0.43172082
0.77,0.5625807
0.85,0.579962
0.3,0.40650395
0.04,0.2402585
0.38,0.42986503
0.57,0.46821734
0.95,0.72663033
0.27,0.38788882
0.4,0.47800106
0.94,0.6856531
0.4,0.38973284
0.95,0.64601374
0.31,0.42489278
0.21,0.30032995
0.9,0.6813228
0.51,0.46165362
0.32,0.38227573
0.15,0.27479613
0.13,0.27287945
0.48,0.52807707
0.73,0.7116101
0.86,0.6158011
0.78,0.6418437
0.16,0.30771884
0.6,0.464061
0.84,0.7144092
0.48,0.51936656
0.41,0.49937353
0.47,0.4501281
0.64,0.58671415
0.91,0.5764084
0.73,0.635647
0.07,0.36238202
0.47,0.3949444
0.79,0.6847538
0.46,0.5630886
0.88,0.6052544
0.75,0.59955037
0.92,0.7473272
0.33,0.41101378
0.1,0.3170719
0.83,0.61135215
0.48,0.4408609
0.51,0.62198794
0.39,0.42655104
0.72,0.515558
0.18,0.3121589
0.71,0.65311575
0.92,0.74470454
0.2,0.29216036
0.36,0.51921016
0.08,0.27147022
0.36,0.3970643
0.73,0.6555214
0.16,0.3818181
0.26,0.45081696
0.51,0.51736253
0.06,0.24703208
0.7,0.469832
0.03,0.28788528
0.46,0.35341647
0.62,0.5040463
1.0,0.6741153
0.37,0.42602697
0.87,0.7495712
0.07,0.26831156
0.06,0.3741249
0.05,0.11880876
0.22,0.27121088
0.96,0.7322798
0.82,0.5889231
0.85,0.6240146
0.53,0.45284456
0.74,0.64048034
0.75,0.5395602
0.89,0.6727121
0.17,0.29887846
0.89,0.79060996
0.87,0.6754942
0.85,0.66956127
0.03,0.17050399
0.11,0.32433572
0.14,0.4333722
0.49,0.52178425
0.24,0.33211508
0.32,0.3703209
0.78,0.79343486
0.23,0.31671673
0.97,0.7266059
0.76,0.6616187
0.97,0.7938603
0.52,0.50838083
0.44,0.45784327
0.0,0.30000094
0.84,0.7583163
0.82,0.61476517
0.6,0.60112476
0.18,0.28920457
0.69,0.6645256
0.55,0.5546044
0.61,0.56679046
0.28,0.4563116
0.83,0.73051333
0.23,0.29856822
0.56,0.53993905
0.27,0.34025452
0.72,0.58491385
0.38,0.44266692
0.3,0.33725387
0.35,0.42409736
0.24,0.32060224
0.34,0.4388171
0.96,0.7566557
0.19,0.22312458
0.36,0.39442742
0.07,0.32398352
0.72,0.5098822
1.0,0.73272735
0.74,0.6805103
0.24,0.35125184
0.54,0.5449234
0.58,0.58451355
0.77,0.6616516
0.7,0.48887494
0.37,0.44887406
0.14,0.20665668
0.28,0.37609944
0.81,0.6297025
0.71,0.6331663
0.44,0.49633837
0.69,0.7123802
