Actual,Predicted
0.0,0.0054466426
0.88,0.83058184
0.78,0.6510104
0.76,0.68265563
0.02,0.107920334
0.11,0.16483448
0.17,0.22062212
0.53,0.5349252
0.54,0.4986335
0.07,0.18239266
0.49,0.4326108
0.96,0.8367685
0.34,0.3335948
0.65,0.6385084
0.16,0.24928153
0.08,0.13545036
1.0,0.9018176
0.67,0.77258885
0.52,0.57064205
0.51,0.6118594
0.58,0.61430115
0.65,0.6444902
0.18,0.13932261
0.2,0.28474584
0.56,0.47051018
0.08,0.08749059
0.35,0.40748134
0.29,0.2472381
0.98,0.9730275
0.52,0.5771164
0.57,0.42156237
0.56,0.5148777
0.99,0.9715869
0.9,0.8468078
0.05,0.10931257
0.66,0.68799585
0.66,0.5773038
0.42,0.3913117
0.61,0.5984538
0.62,0.6918363
0.55,0.5850964
0.51,0.6500494
0.7,0.69189876
0.45,0.5982382
0.43,0.551595
0.77,0.70742446
0.67,0.55430406
0.78,0.84949636
0.12,0.08982735
0.95,0.85769504
0.16,0.17288029
0.8,0.61558735
0.54,0.5213426
0.7,0.7892478
0.76,0.7117744
0.48,0.51192635
0.33,0.44091243
0.58,0.60750234
0.47,0.50684524
0.67,0.67246884
0.55,0.4550025
0.3,0.27908185
0.59,0.55968505
0.25,0.3412302
0.16,0.32253525
0.46,0.37967676
0.3,0.33757138
0.97,0.8095097
0.59,0.67949754
0.71,0.68176323
0.25,0.17288381
0.11,0.15377527
0.82,0.742261
0.21,0.2613087
0.87,0.86316234
0.81,0.72491676
0.17,0.25750044
0.81,0.78339666
0.38,0.35152537
0.18,0.19294402
0.91,0.8599104
0.99,1.0907089
0.67,0.6678968
0.95,0.92547905
0.03,0.15333113
0.57,0.5877742
0.5,0.4695094
0.33,0.328161
0.8,0.74384516
0.44,0.4022311
0.95,0.7854716
0.6,0.7095321
0.4,0.35616976
0.26,0.3470627
0.79,0.8551952
0.05,0.15509175
0.46,0.43145865
0.29,0.3238306
0.53,0.57971376
0.43,0.4486034
0.88,0.87942845
0.64,0.70910853
0.55,0.5224621
0.94,0.82123244
0.74,0.6942906
1.0,0.8209792
0.53,0.46430075
0.89,0.895665
0.54,0.48553097
0.8,0.8147416
0.7,0.65151095
0.73,0.8021274
0.23,0.24681705
0.01,0.01970429
0.35,0.21509802
0.26,0.27175176
0.22,0.29431832
0.84,0.9122404
0.54,0.6403381
0.15,0.19867635
0.2,0.3017146
0.08,0.1983042
0.45,0.48110914
0.98,0.9670693
0.14,0.19861448
0.15,0.36378604
0.43,0.4790396
0.14,0.04472707
0.26,0.42104322
0.9,0.96875656
0.17,-0.035635658
0.97,0.8931485
0.63,0.5383772
0.26,0.111410566
0.65,0.68372095
0.59,0.51207966
0.23,0.1780748
0.21,0.29467633
0.56,0.4819833
0.96,0.80991054
0.47,0.41692108
0.12,0.34532046
0.1,0.027108584
0.19,0.1685381
0.77,0.68815154
0.83,0.7947625
0.66,0.73965675
0.93,0.888738
0.87,0.730921
0.9,0.77824277
0.42,0.5076273
0.44,0.281367
0.5,0.34594458
0.29,0.40615422
0.32,0.38338217
0.05,0.11394137
0.37,0.37723976
0.11,0.20232657
0.35,0.35669422
0.04,0.1316995
0.12,0.2613991
0.13,0.14450282
0.98,0.885017
0.39,0.43234968
0.36,0.39861906
0.56,0.59711665
0.92,0.8656401
0.4,0.3800429
0.12,0.116999574
0.99,0.9580058
0.89,0.8275656
0.06,0.22863942
0.81,0.7864871
0.1,0.16761163
0.89,0.76649076
0.63,0.6753246
0.38,0.34629562
0.42,0.48310935
0.33,0.3381639
0.61,0.5718022
0.57,0.5459073
0.72,0.7728652
0.19,0.2758248
0.99,0.88309425
0.45,0.37003547
0.25,0.27982047
0.02,0.11330361
0.0,0.11596862
0.34,0.22969419
0.71,0.6950695
0.85,0.77907723
0.74,0.6235424
0.13,0.13559628
0.0,0.14197022
0.13,0.19746357
0.32,0.26621258
0.2,0.2102924
0.21,0.27520952
0.02,0.03646875
0.01,0.1696387
0.69,0.5690128
0.99,0.8632656
0.79,0.63082457
0.19,0.2354646
0.13,0.37719613
0.22,0.36099017
0.42,0.44713086
0.67,0.46899658
0.59,0.730681
0.75,0.6733386
0.09,0.31379816
0.41,0.39992183
0.07,0.10542354
0.19,0.42717838
0.69,0.6995806
0.83,0.7473845
0.62,0.64009625
0.9,0.8800069
0.72,0.7373652
0.27,0.38887852
0.1,0.22179163
0.84,0.84014314
0.75,0.5723023
0.85,0.8462578
0.83,0.67262405
0.28,0.32912946
0.45,0.46709323
0.02,0.17192155
0.24,0.25791773
0.71,0.6702921
0.03,0.19431269
0.14,0.20678046
0.58,0.60803175
0.4,0.33139437
0.55,0.6138682
0.09,0.34254032
0.88,0.77235776
0.57,0.57730865
0.36,0.521146
0.34,0.4729631
0.17,0.16093314
0.01,0.019482419
0.37,0.38548967
0.79,0.6805504
0.39,0.46212333
0.68,0.667025
0.31,0.31159532
0.29,0.37426746
0.66,0.6094882
0.5,0.43707025
0.62,0.58989954
0.65,0.6960017
0.82,0.7770185
0.73,0.7382321
0.64,0.5715825
0.22,0.22010401
0.92,0.8152984
0.28,0.43503547
0.6,0.61017936
0.6,0.59654075
0.25,0.3356868
0.64,0.7986956
0.68,0.71662647
0.66,0.6197736
0.69,0.57350165
0.09,-0.035990164
0.86,0.8501114
0.04,0.12301587
0.25,0.049419492
0.41,0.398183
0.86,0.75879794
0.8,0.7261748
0.44,0.4208117
0.84,0.7023462
0.88,0.7448028
0.68,0.67760915
0.41,0.51739776
0.39,0.38207394
0.35,0.4192557
0.91,0.8149141
0.11,0.2241804
0.06,0.23029384
0.43,0.39639884
0.31,0.3093394
0.94,0.93438745
0.32,0.37946743
0.34,0.31614697
0.42,0.4598542
0.48,0.4323901
0.76,0.71327794
0.09,0.18005535
0.86,0.893079
0.61,0.6143231
0.93,0.88587874
0.09,0.17127797
0.04,0.15207812
0.31,0.3543042
0.1,0.1358306
0.15,0.14659137
0.15,0.21882993
0.94,0.8280439
0.79,0.83367544
0.03,-0.0086949095
0.01,0.05500061
0.61,0.639545
0.77,0.6934287
0.92,0.8862744
0.29,0.3341962
0.27,0.36346796
0.39,0.41278175
0.08,0.15744947
1.0,1.0101824
0.93,0.82957584
0.78,0.7365412
0.24,0.2943196
0.5,0.49047548
0.33,0.33850995
0.49,0.5582949
0.65,0.6577911
0.75,0.7276332
0.63,0.5664813
0.53,0.53421545
0.59,0.6283891
0.82,0.7630045
0.47,0.41034728
0.77,0.73890847
0.85,0.7998459
0.3,0.44268155
0.04,0.07520102
0.38,0.5264394
0.57,0.55482095
0.95,0.89583385
0.27,0.31490636
0.4,0.44811854
0.94,0.87032247
0.4,0.5188455
0.95,0.8802196
0.31,0.37529042
0.21,0.2966788
0.9,0.6912481
0.51,0.45143634
0.32,0.26884395
0.15,0.07625147
0.13,0.31884795
0.48,0.5065462
0.73,0.71360976
0.86,0.64388365
0.78,0.6669834
0.16,0.2762368
0.6,0.58546185
0.84,0.79758644
0.48,0.43321347
0.41,0.43269035
0.47,0.4664417
0.64,0.55665755
0.91,0.9369914
0.73,0.73630434
0.07,0.115982
0.47,0.4720219
0.79,0.82347554
0.46,0.36042222
0.88,0.9077309
0.75,0.6987624
0.92,0.8389304
0.33,0.48246294
