Actual,Predicted
0.23,0.17593712
0.51,0.47207084
0.11,0.09126777
0.75,0.6491561
0.56,0.551337
0.96,0.8963609
0.92,0.82278395
0.19,0.16451228
0.72,0.65319407
0.36,0.32736176
0.05,0.047240727
0.92,0.8783139
0.57,0.48360962
0.88,0.7313577
0.46,0.44221133
0.91,0.8447936
0.63,0.54911673
0.15,0.13059847
0.69,0.6357786
0.66,0.58239853
0.01,0.0043579414
0.27,0.25124913
0.16,0.13509396
0.8,0.642865
0.47,0.42224813
0.07,0.065370455
0.29,0.2717147
0.64,0.6172937
0.32,0.2686024
0.78,0.7085474
0.22,0.22950742
0.65,0.57924575
0.24,0.19804999
0.47,0.39757198
0.37,0.31821078
0.17,0.13135971
0.79,0.7478644
0.39,0.2670104
0.47,0.40831465
0.29,0.24518332
0.35,0.33815575
0.4,0.2881951
0.28,0.2781051
0.27,0.21546996
0.99,0.91770357
0.67,0.5879405
0.03,0.022654142
0.2,0.17540222
0.35,0.30378014
0.09,0.06430699
0.53,0.4264993
0.78,0.6485484
0.97,0.8687232
0.97,0.85006994
0.3,0.25588498
0.07,0.012197547
0.75,0.6707627
0.15,0.14142248
0.17,0.08607315
0.79,0.6949794
0.37,0.2945243
0.99,0.9126158
0.6,0.51706487
0.9,0.85143524
0.71,0.6275686
0.74,0.6446211
0.21,0.1668714
0.13,0.15257792
0.4,0.2853044
0.73,0.6888323
0.06,0.043835968
0.49,0.45935288
0.64,0.6071201
0.05,0.034356605
0.88,0.82854617
0.3,0.2288996
0.44,0.38629752
0.74,0.64320177
0.79,0.64523715
0.1,0.089364044
0.22,0.18283138
0.0,-5.1386654e-05
0.58,0.5255154
0.31,0.27208856
0.73,0.6492883
0.5,0.43069422
0.19,0.16539985
0.8,0.6854553
0.93,0.8341567
0.04,-0.0013650656
0.45,0.36884987
0.06,0.06266701
0.53,0.47175556
0.88,0.80820376
0.45,0.43413657
0.26,0.16465098
0.86,0.7103531
0.66,0.6035167
0.9,0.8115637
0.96,0.89198524
0.71,0.65289503
0.11,0.09071713
0.75,0.66796875
0.51,0.45446953
0.16,0.12586305
0.53,0.48198926
0.83,0.7469544
0.94,0.8279223
0.78,0.72504574
1.0,0.8429772
0.36,0.32870507
0.34,0.34698373
0.28,0.30211604
0.52,0.4791652
0.34,0.28105047
0.8,0.6999163
0.36,0.31352934
1.0,0.89258003
0.91,0.82314926
0.59,0.5616923
0.14,0.15782398
0.23,0.17416117
0.94,0.8411873
0.59,0.5172836
0.19,0.20123428
0.0,0.02057686
0.82,0.7364679
0.05,0.0065966174
0.37,0.34831524
0.43,0.39235118
0.68,0.6418895
0.86,0.83509344
0.12,0.09135367
0.74,0.60154873
0.25,0.14300308
0.82,0.6721594
0.97,0.85440356
0.89,0.81206197
0.58,0.5165724
0.46,0.37033704
0.48,0.43924785
0.59,0.5175936
0.33,0.30987084
0.57,0.45866817
0.9,0.7740566
0.32,0.2680622
0.43,0.4488126
0.32,0.24075535
0.76,0.6428093
0.98,0.86965764
0.99,0.90006316
0.34,0.29608044
0.2,0.1689394
0.5,0.442592
0.41,0.41335392
0.46,0.3606971
0.76,0.63297147
0.64,0.6312058
0.81,0.71242386
0.45,0.43350986
0.97,0.8033375
0.25,0.23274884
0.81,0.68304694
0.84,0.76204216
0.65,0.53685457
0.44,0.3850503
0.92,0.8399212
0.14,0.13807157
0.28,0.23516372
0.71,0.6328973
0.07,0.09487462
0.93,0.80858564
0.66,0.5649192
0.56,0.53873205
0.68,0.62119573
0.31,0.2882928
0.58,0.53208536
0.04,-0.025096498
0.05,0.009175103
0.44,0.45655075
0.2,0.17248851
0.64,0.5564753
0.67,0.59142536
0.99,0.91738987
0.77,0.7107102
0.56,0.5271492
0.39,0.37040162
0.76,0.659938
0.04,0.021051407
0.58,0.5493223
0.33,0.2943103
0.42,0.39162925
0.96,0.8977213
0.86,0.8123363
0.89,0.8447782
0.95,0.85449016
0.09,0.033966925
0.04,0.041623462
0.63,0.52745456
0.01,0.02831488
0.33,0.27910435
0.13,0.13189879
0.42,0.38253605
0.17,0.12576643
0.21,0.18825096
0.47,0.43374622
0.52,0.48883063
0.91,0.78012437
0.95,0.8087191
0.72,0.590712
0.6,0.5444117
0.54,0.51786166
0.84,0.76223415
0.29,0.22301522
0.24,0.18875656
0.24,0.20846716
0.5,0.45807338
0.48,0.46903643
0.32,0.27667055
0.94,0.85969776
0.54,0.49180207
0.86,0.7808251
0.38,0.33768815
0.3,0.21882185
0.78,0.652532
0.51,0.50597626
0.55,0.47739518
0.01,0.038730856
0.83,0.7009749
0.38,0.3894705
0.55,0.465842
0.01,-0.026642345
0.34,0.31110004
0.3,0.22740915
0.28,0.25065634
0.75,0.64494175
0.88,0.7705572
0.26,0.23029882
0.87,0.78991485
0.5,0.3683235
0.55,0.57000643
0.71,0.5978371
0.59,0.50705355
0.21,0.15841013
0.65,0.5487789
0.06,0.079390585
0.27,0.22582385
0.49,0.4258517
0.87,0.76069444
0.45,0.40501568
0.08,0.0717683
0.67,0.52608174
0.49,0.3851779
0.37,0.32311586
0.34,0.275168
0.08,0.0967279
0.53,0.45572057
0.03,-0.033594765
0.22,0.19175544
0.91,0.79277235
0.31,0.30549514
0.3,0.21957773
0.63,0.5441641
0.39,0.40457934
0.98,0.81144893
0.83,0.8096872
0.71,0.71876264
0.59,0.4596628
0.69,0.6389666
0.12,0.07988919
0.31,0.21000189
0.73,0.6343295
0.46,0.37464765
